Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity,Demand_to_Hype_Ratio,Media_Volume_per_Source,Interest_per_Source,Year,Inflation_Rate,Internet_Penetration,GDP_Per_Capita,is_holiday,holiday_count
2023-01-01,AE,United_Arab_Emirates,Fashion_Beauty,67.23,-13.2,-4.62,115,1.4011,4.34705,2.94595,7.29301,21.0569,0.618644,81,0.579568966,1.419753086,0.83,2023,1.63,100,49850.69,1,1
2023-01-01,AE,United_Arab_Emirates,Fitness_Wearables,72.78,5.97,12.48,52,-1.59814,3.93978,5.53792,9.4777,18.9,0.20829,44,1.373207547,1.181818182,1.654090909,2023,1.63,100,49850.69,1,1
2023-01-01,AE,United_Arab_Emirates,Nutrition_Diets,74.4,14.84,23.46,845,1.08379,4.1815,3.09772,7.27922,20.7641,0.58376,329,0.087943262,2.568389058,0.226139818,2023,1.63,100,49850.69,1,1
2023-01-08,AE,United_Arab_Emirates,Fashion_Beauty,65.42,-1.81,11.39,127,2.05363,4.35196,2.29832,6.65028,20.5615,0.515979,81,0.51109375,1.567901235,0.807654321,2023,1.63,100,49850.69,0,0
2023-01-08,AE,United_Arab_Emirates,Fitness_Wearables,70.28,-2.5,-8.47,32,2.88533,4.90696,2.02163,6.92859,18.5664,0.207702,15,2.12969697,2.133333333,4.685333333,2023,1.63,100,49850.69,0,0
2023-01-08,AE,United_Arab_Emirates,Nutrition_Diets,69.17,-5.23,-20.07,1065,0.151123,3.38485,3.23373,6.61857,20.0918,0.439142,548,0.06488743,1.943430657,0.126222628,2023,1.63,100,49850.69,0,0
2023-01-15,AE,United_Arab_Emirates,Fashion_Beauty,66.51,1.09,2.9,168,1.62922,4.10001,2.47079,6.57081,20.633,0.679913,103,0.393550296,1.631067961,0.645728155,2023,1.63,100,49850.69,0,0
2023-01-15,AE,United_Arab_Emirates,Fitness_Wearables,71.74,1.46,3.96,30,1.93158,4.54494,2.61336,7.15829,18.4329,0.16884,21,2.314193548,1.428571429,3.416190476,2023,1.63,100,49850.69,0,0
2023-01-15,AE,United_Arab_Emirates,Nutrition_Diets,73.12,3.95,9.18,1090,1.52085,4.13584,2.61499,6.75084,19.981,0.583068,403,0.067021082,2.70471464,0.181439206,2023,1.63,100,49850.69,0,0
2023-01-22,AE,United_Arab_Emirates,Fashion_Beauty,65.9,-0.61,-1.7,151,0.913823,3.98131,3.06749,7.04879,20.9433,0.552589,123,0.433552632,1.227642276,0.535772358,2023,1.63,100,49850.69,0,0
2023-01-22,AE,United_Arab_Emirates,Fitness_Wearables,69.03,-2.71,-4.17,32,3.79554,5.40598,1.61044,7.01641,18.7241,0.366153,18,2.091818182,1.777777778,3.835,2023,1.63,100,49850.69,0,0
2023-01-22,AE,United_Arab_Emirates,Nutrition_Diets,71.01,-2.11,-6.06,849,0.42207,3.98026,3.55819,7.53845,19.6851,0.629515,342,0.083541176,2.48245614,0.207631579,2023,1.63,100,49850.69,0,0
2023-01-29,AE,United_Arab_Emirates,Fashion_Beauty,66.26,0.36,0.97,125,1.84272,4.52603,2.68331,7.20934,19.8531,0.463717,74,0.525873016,1.689189189,0.895405405,2023,1.63,100,49850.69,0,0
2023-01-29,AE,United_Arab_Emirates,Fitness_Wearables,71.85,2.82,5.53,66,0.411306,3.6815,3.27019,6.95168,19.772,0.471171,45,1.07238806,1.466666667,1.596666667,2023,1.63,100,49850.69,0,0
2023-01-29,AE,United_Arab_Emirates,Nutrition_Diets,71.1,0.09,2.2,1053,1.24524,4.49147,3.24623,7.73769,20.2304,0.502762,385,0.067457306,2.735064935,0.184675325,2023,1.63,100,49850.69,0,0
2023-02-05,AE,United_Arab_Emirates,Fashion_Beauty,66.38,0.12,-0.24,252,-2.82191,3.00997,5.83188,8.84184,20.0323,0.336913,195,0.262371542,1.292307692,0.340410256,2023,1.63,100,49850.69,0,0
2023-02-05,AE,United_Arab_Emirates,Fitness_Wearables,70.18,-1.67,-4.49,32,2.20352,4.11457,1.91105,6.02561,17.0658,0.831213,25,2.126666667,1.28,2.8072,2023,1.63,100,49850.69,0,0
2023-02-05,AE,United_Arab_Emirates,Nutrition_Diets,71.65,0.55,0.46,1472,0.405081,3.80029,3.39521,7.19551,20.5851,0.560843,558,0.048642227,2.637992832,0.128405018,2023,1.63,100,49850.69,0,0
2023-02-12,AE,United_Arab_Emirates,Fashion_Beauty,67.11,0.73,0.61,152,0.954519,3.68961,2.73509,6.4247,20.2998,0.65955,95,0.438627451,1.6,0.706421053,2023,1.63,100,49850.69,0,0
2023-02-12,AE,United_Arab_Emirates,Fitness_Wearables,69.66,-0.52,1.15,61,-1.18737,3.52217,4.70954,8.23171,18.3741,0.44234,48,1.123548387,1.270833333,1.45125,2023,1.63,100,49850.69,0,0
2023-02-12,AE,United_Arab_Emirates,Nutrition_Diets,72.75,1.1,0.55,1410,-0.0270755,3.73694,3.76401,7.50095,20.6511,0.52837,650,0.051559178,2.169230769,0.111923077,2023,1.63,100,49850.69,0,0
2023-02-19,AE,United_Arab_Emirates,Fashion_Beauty,68.92,1.81,1.08,167,1.53224,3.84532,2.31308,6.15839,20.5211,0.834557,120,0.410238095,1.391666667,0.574333333,2023,1.63,100,49850.69,0,0
2023-02-19,AE,United_Arab_Emirates,Fitness_Wearables,69.76,0.1,0.62,85,-1.0376,3.17891,4.21651,7.39542,18.9443,0.400505,60,0.811162791,1.416666667,1.162666667,2023,1.63,100,49850.69,0,0
2023-02-19,AE,United_Arab_Emirates,Nutrition_Diets,72.02,-0.73,-1.83,1107,0.956019,3.852,2.89598,6.74798,21.2465,0.60934,355,0.065,3.118309859,0.202873239,2023,1.63,100,49850.69,0,0
2023-02-26,AE,United_Arab_Emirates,Fashion_Beauty,67.47,-1.45,-3.26,136,1.28406,4.09448,2.81042,6.90489,20.4341,0.474387,95,0.492481752,1.431578947,0.710210526,2023,1.63,100,49850.69,0,0
2023-02-26,AE,United_Arab_Emirates,Fitness_Wearables,67.67,-2.09,-2.19,114,-4.55722,2.48944,7.04666,9.5361,18.8889,0.310314,79,0.588434783,1.443037975,0.856582278,2023,1.63,100,49850.69,0,0
2023-02-26,AE,United_Arab_Emirates,Nutrition_Diets,73.3,1.28,2.01,975,0.53774,3.99096,3.45322,7.44418,20.1908,0.513491,433,0.075102459,2.251732102,0.169284065,2023,1.63,100,49850.69,0,0
2023-03-05,AE,United_Arab_Emirates,Fashion_Beauty,69.53,2.06,3.51,134,1.29821,3.80913,2.51093,6.32006,21.5844,0.626713,97,0.515037037,1.381443299,0.716804124,2023,1.63,100,49850.69,0,0
2023-03-05,AE,United_Arab_Emirates,Fitness_Wearables,67.15,-0.52,1.57,95,-0.317332,4.16877,4.4861,8.65487,19.3079,0.253164,58,0.699479167,1.637931034,1.157758621,2023,1.63,100,49850.69,0,0
2023-03-05,AE,United_Arab_Emirates,Nutrition_Diets,67.89,-5.41,-6.69,823,-0.0379973,3.82071,3.85871,7.67943,20.4547,0.525812,371,0.082390777,2.218328841,0.182991914,2023,1.63,100,49850.69,0,0
2023-03-12,AE,United_Arab_Emirates,Fashion_Beauty,70.74,1.21,-0.85,176,2.30984,4.71012,2.40028,7.1104,20.0418,0.612112,105,0.399661017,1.676190476,0.673714286,2023,1.63,100,49850.69,0,0
2023-03-12,AE,United_Arab_Emirates,Fitness_Wearables,66.21,-0.94,-0.42,197,1.05679,4.41505,3.35826,7.7733,20.0951,0.597252,144,0.334393939,1.368055556,0.459791667,2023,1.63,100,49850.69,0,0
2023-03-12,AE,United_Arab_Emirates,Nutrition_Diets,72.11,4.22,9.63,871,0.877922,4.02563,3.14771,7.17334,20.645,0.56317,355,0.082694954,2.453521127,0.203126761,2023,1.63,100,49850.69,0,0
2023-03-19,AE,United_Arab_Emirates,Fashion_Beauty,62.88,-7.86,-9.07,103,2.00059,4.4223,2.42171,6.84401,20.4698,0.751954,69,0.604615385,1.492753623,0.911304348,2023,1.63,100,49850.69,0,0
2023-03-19,AE,United_Arab_Emirates,Fitness_Wearables,67.78,1.57,2.51,84,0.53261,3.92021,3.3876,7.3078,18.4362,0.745232,68,0.797411765,1.235294118,0.996764706,2023,1.63,100,49850.69,0,0
2023-03-19,AE,United_Arab_Emirates,Nutrition_Diets,68.62,-3.49,-7.71,815,0.713027,3.99757,3.28454,7.28211,20.0079,0.579306,370,0.084093137,2.202702703,0.185459459,2023,1.63,100,49850.69,0,0
2023-03-26,AE,United_Arab_Emirates,Fashion_Beauty,69.53,6.65,14.51,143,1.39314,4.03904,2.64591,6.68495,20.9184,0.647339,92,0.482847222,1.554347826,0.75576087,2023,1.63,100,49850.69,0,0
2023-03-26,AE,United_Arab_Emirates,Fitness_Wearables,70.59,2.81,1.24,52,-0.711584,3.63869,4.35028,7.98897,19.2813,0.266572,45,1.331886792,1.155555556,1.568666667,2023,1.63,100,49850.69,0,0
2023-03-26,AE,United_Arab_Emirates,Nutrition_Diets,64.5,-4.12,-0.63,1133,0.0664723,4.05429,3.98782,8.04211,20.8737,0.585792,522,0.056878307,2.170498084,0.123563218,2023,1.63,100,49850.69,0,0
2023-04-02,AE,United_Arab_Emirates,Fashion_Beauty,73.64,4.11,-2.54,166,0.716765,3.58708,2.87031,6.45739,20.6956,0.447744,107,0.440958084,1.551401869,0.688224299,2023,1.63,100,49850.69,0,0
2023-04-02,AE,United_Arab_Emirates,Fitness_Wearables,66.74,-3.85,-6.66,122,1.27782,4.14742,2.86961,7.01703,15.7773,0.181139,89,0.542601626,1.370786517,0.74988764,2023,1.63,100,49850.69,0,0
