Week_Start,Country_Name,Category,Search_Interest,Inflation_Rate,GDP_Per_Capita,holiday_count,Search_Interest_lag_1,Search_Interest_lag_2,Search_Interest_lag_4,Search_Velocity_lag,Search_Acceleration_lag,Search_Interest_roll_mean_4w,Search_Interest_roll_std_4w,Media_Volume_roll_mean_4w,sin_week,cos_week
2026-08-23,United_Arab_Emirates,Fashion_Beauty,68.56,1.250865245598,50273.5126243239,1,71.92,68.93,68.8,2.989999999999995,4.559999999999988,70.03750000000001,1.4737339199014716,0.0,-0.8229838658936564,-0.5680647467311559
2026-08-30,United_Arab_Emirates,Fashion_Beauty,68.3,1.250865245598,50273.5126243239,0,68.56,71.92,70.5,-3.3599999999999994,-6.349999999999994,69.9775,1.5441151727342626,170.0,-0.8854560256532096,-0.4647231720437691
2026-09-06,United_Arab_Emirates,Fashion_Beauty,72.12,1.250865245598,50273.5126243239,0,68.3,68.56,68.93,-0.2600000000000051,3.0999999999999943,69.42750000000001,1.681653452211499,153.0,-0.9350162426854147,-0.3546048870425359
2026-09-13,United_Arab_Emirates,Fashion_Beauty,68.44,1.250865245598,50273.5126243239,0,72.12,68.3,71.92,3.820000000000008,4.0800000000000125,70.225,2.0770090675459687,149.0,-0.970941817426052,-0.23931566428755774
2026-08-30,United_Arab_Emirates,Fitness_Wearables,80.25,1.250865245598,50273.5126243239,0,85.51,86.44,88.01,-0.9299999999999926,1.8400000000000036,87.29249999999999,1.642728928745314,0.0,-0.8854560256532096,-0.4647231720437691
2026-09-06,United_Arab_Emirates,Fitness_Wearables,95.4,1.250865245598,50273.5126243239,0,80.25,85.51,89.21,-5.260000000000005,-4.3300000000000125,85.35249999999999,3.7471444683478174,3.0,-0.9350162426854147,-0.3546048870425359
2026-08-23,United_Arab_Emirates,Nutrition_Diets,58.72,1.250865245598,50273.5126243239,1,63.67,62.84,69.91,0.8299999999999983,6.059999999999988,66.1225,3.4121095625238125,0.0,-0.8229838658936564,-0.5680647467311559
2026-08-30,United_Arab_Emirates,Nutrition_Diets,57.35,1.250865245598,50273.5126243239,0,58.72,63.67,68.07,-4.950000000000003,-5.780000000000001,63.325,3.832984042057401,430.0,-0.8854560256532096,-0.4647231720437691
2026-09-06,United_Arab_Emirates,Nutrition_Diets,69.15,1.250865245598,50273.5126243239,0,57.35,58.72,62.84,-1.3699999999999974,3.5800000000000054,60.645,3.083899047202032,411.0,-0.9350162426854147,-0.3546048870425359
2026-09-13,United_Arab_Emirates,Nutrition_Diets,64.0,1.250865245598,50273.5126243239,0,69.15,57.35,63.67,11.800000000000004,13.170000000000002,62.2225,5.357059983485981,444.0,-0.970941817426052,-0.23931566428755774
2026-08-23,Australia,Fashion_Beauty,66.38,2.87403791660173,65129.7227990563,0,68.86,70.97,69.23,-2.1099999999999994,-6.579999999999998,68.89,1.8398369492972064,0.0,-0.8229838658936564,-0.5680647467311559
2026-08-30,Australia,Fashion_Beauty,70.56,2.87403791660173,65129.7227990563,0,66.38,68.86,66.5,-2.480000000000004,-0.3700000000000045,68.1775,2.183947114744188,329.0,-0.8854560256532096,-0.4647231720437691
2026-09-06,Australia,Fashion_Beauty,69.65,2.87403791660173,65129.7227990563,0,70.56,66.38,70.97,4.180000000000007,6.660000000000011,69.1925,2.0856873367467723,354.5,-0.9350162426854147,-0.3546048870425359
2026-09-13,Australia,Fashion_Beauty,65.85,2.87403791660173,65129.7227990563,0,69.65,70.56,68.86,-0.9099999999999966,-5.090000000000003,68.8625,1.7948514330344854,377.6666666666667,-0.970941817426052,-0.23931566428755774
