Country_Name,Category,Mean_Search_Interest,Mean_Media_Volume,Mean_Demand_to_Hype_Ratio,Search_Interest_Trend_Slope,Mean_Net_Sentiment,Mean_GDP_Per_Capita
Australia,Fashion_Beauty,68.11,309.25,0.29434339390731235,-0.25,0.31999999999999995,65129.7227990563
Australia,Fitness_Wearables,86.715,2.5,51.5509375,-1.1260000000000006,1.13,65129.7227990563
Australia,Nutrition_Diets,75.805,1469.25,0.15583862705204538,-2.8439999999999985,-1.5325,65129.7227990563
Brazil,Fashion_Beauty,60.8575,749.0,0.2155934966519199,0.6649999999999998,0.09,10713.2856869511
Brazil,Fitness_Wearables,73.4175,9.75,22.474593750000004,3.9530000000000043,-1.02,10713.2856869511
Brazil,Nutrition_Diets,44.449999999999996,4179.5,0.029417590134451235,6.6019999999999985,-1.385,10713.2856869511
Canada,Fashion_Beauty,69.815,490.0,0.5311893205773337,0.8319999999999993,-0.315,55697.6639660837
Canada,Fitness_Wearables,76.2225,5.25,27.773805555555555,2.122999999999999,0.6799999999999999,55697.6639660837
Canada,Nutrition_Diets,70.7,3736.5,0.06797547718114404,1.6980000000000017,-0.96,55697.6639660837
China,Fashion_Beauty,19.39,1780.5,0.06286830056076942,5.8420000000000005,0.3575,13861.970224368
China,Fitness_Wearables,38.875,22.0,8.547358974358975,10.053999999999998,0.48250000000000004,13861.970224368
China,Nutrition_Diets,15.657499999999999,15126.25,0.006277847378872247,8.397,0.115,13861.970224368
France,Fashion_Beauty,36.1975,2397.0,0.03196382985129928,-0.00099999999999838,-0.2725,48985.7307807924
France,Fitness_Wearables,79.54249999999999,23.25,3.965729497354497,2.6890000000000014,-0.2825,48985.7307807924
France,Nutrition_Diets,38.4125,7703.25,0.009352954076565018,0.34499999999999886,-1.3225,48985.7307807924
India,Fashion_Beauty,61.3775,1900.25,0.09967571708871802,2.9530000000000007,-0.7475,2702.47987141553
India,Fitness_Wearables,83.62,31.25,7.577156423316355,4.871999999999998,0.19,2702.47987141553
India,Nutrition_Diets,89.2425,10679.75,0.018550280080658996,5.854999999999999,-1.455,2702.47987141553
Kenya,Fashion_Beauty,77.2375,121.75,2.8243070825170276,8.645000000000003,-0.9924999999999999,2362.86091198611
Kenya,Fitness_Wearables,76.2175,8.25,17.68345982142857,9.802999999999997,-0.495,2362.86091198611
Kenya,Nutrition_Diets,56.47,386.75,0.4231258222375718,4.632,-0.7949999999999999,2362.86091198611
Mexico,Fashion_Beauty,53.7825,900.25,0.17727155409653944,0.5510000000000013,0.16499999999999998,13889.2339628708
Mexico,Fitness_Wearables,71.4675,3.5,16.937791666666666,0.6730000000000004,0.5700000000000001,13889.2339628708
Mexico,Nutrition_Diets,29.645,3967.0,0.019099824220335286,1.6019999999999996,-1.55,13889.2339628708
Nigeria,Fashion_Beauty,69.6925,33.0,10.243257852780925,0.9449999999999988,-0.8075,1224.25410237743
Nigeria,Fitness_Wearables,77.1425,4.0,30.917916666666667,4.0649999999999995,-0.8375,1224.25410237743
Nigeria,Nutrition_Diets,60.777499999999996,104.25,2.626562872689326,0.46300000000000024,-1.69,1224.25410237743
Singapore,Fashion_Beauty,43.1025,93.5,1.3741872777353457,-0.831000000000001,-1.47,98813.9788172877
Singapore,Fitness_Wearables,75.1075,1.25,50.24333333333333,1.1730000000000005,-0.2275,98813.9788172877
Singapore,Nutrition_Diets,57.5975,259.75,0.45973906417118143,3.8650000000000007,-1.725,98813.9788172877
South_Africa,Fashion_Beauty,72.19749999999999,32.5,10.386892473118278,-0.2949999999999989,0.5150000000000001,6597.71450918774
South_Africa,Fitness_Wearables,74.3325,35.75,39.01709623893805,1.8429999999999993,-3.1075,6597.71450918774
South_Africa,Nutrition_Diets,60.255,199.0,0.7998168049126789,0.24600000000000008,-0.155,6597.71450918774
United_Arab_Emirates,Fashion_Beauty,69.355,116.0,1.3023963411664763,0.34599999999999936,1.29,50273.5126243239
United_Arab_Emirates,Fitness_Wearables,88.36500000000001,1.25,57.418125,3.5519999999999983,0.11250000000000013,50273.5126243239
United_Arab_Emirates,Nutrition_Diets,62.305,343.25,0.4853256181439825,2.7640000000000007,-0.495,50273.5126243239
United_Kingdom,Fashion_Beauty,64.245,7.0,19.84261057692308,0.7320000000000008,-0.03750000000000002,57601.9621201954
United_Kingdom,Fitness_Wearables,88.205,0.0,88.205,0.7659999999999997,-0.2,57601.9621201954
United_Kingdom,Nutrition_Diets,80.3825,33.25,4.559579545454545,0.35099999999999765,-0.56,57601.9621201954
United_States,Fashion_Beauty,45.29,10743.0,0.012441812854933194,0.06800000000000068,-1.125,90026.5163005744
United_States,Fitness_Wearables,56.519999999999996,326.25,0.4799882524818567,0.4980000000000004,-2.2075,90026.5163005744
United_States,Nutrition_Diets,49.1575,64939.5,0.002312022746823297,-0.2269999999999996,-1.63,90026.5163005744
